id,company_name,city,state,industry
1,Coral Farms,Udaipur,Rajasthan,Textiles
2,Maple Auto Components,Hubballi,Karnataka,Renewable Energy
3,Vertex Farms,Durgapur,West Bengal,Mining
4,Vertex Energy Ltd,Vadodara,Gujarat,Construction
5,Pearl Logistics,Kanpur,Uttar Pradesh,Healthcare
6,Falcon Logistics,Bengaluru,Karnataka,Agriculture
7,Greenfield Corp,Patna,Bihar,Logistics
8,Eagle Projects Pvt Ltd,Kolkata,West Bengal,Chemicals
9,Lotus Corp,Bhopal,Madhya Pradesh,Healthcare
10,Cobalt Works,Raipur,Chhattisgarh,Agriculture
11,Eagle Farms,Udaipur,Rajasthan,Logistics
12,Lotus Hospitals,Indore,Madhya Pradesh,Mining
13,Cascade Corp,Amritsar,Punjab,Renewable Energy
14,Cobalt Projects Pvt Ltd,Indore,Madhya Pradesh,Automotive
15,Greenfield Infra Pvt Ltd,Chandigarh,Chandigarh,Renewable Energy
16,Falcon Builders,Bengaluru,Karnataka,Chemicals
17,Ironclad Retail Group,Lucknow,Uttar Pradesh,Textiles
18,Lotus Mills,Bhopal,Madhya Pradesh,Chemicals
19,Horizon Retail Group,Pune,Maharashtra,Mining
20,Cedar Farms,Mysuru,Karnataka,Telecom
21,Summit Works,Pune,Maharashtra,Agriculture
22,Ironclad Corp,Pune,Maharashtra,Automotive
23,Vertex Retail Group,Coimbatore,Tamil Nadu,Automotive
24,Silverline Works,Howrah,West Bengal,Renewable Energy
25,Atlas Works,Warangal,Telangana,Chemicals
26,Atlas Foods Pvt Ltd,Pune,Maharashtra,Chemicals
27,Lotus Logistics,Surat,Gujarat,Construction
28,BluePeak Infra Pvt Ltd,Noida,Uttar Pradesh,Education
29,Summit Hospitals,Bhubaneswar,Odisha,Logistics
30,Cedar Infra Pvt Ltd,Visakhapatnam,Andhra Pradesh,Food Processing
31,Maple Projects Pvt Ltd,Bhopal,Madhya Pradesh,Education
32,Eagle Infra Pvt Ltd,Chandigarh,Chandigarh,Textiles
33,Falcon Energy Ltd,Hyderabad,Telangana,Logistics
34,Cascade Energy Ltd,Vijayawada,Andhra Pradesh,Food Processing
35,Silverline Foods Pvt Ltd,Bhubaneswar,Odisha,Telecom
36,Eagle Retail Group,Chandigarh,Chandigarh,Education
37,Silverline Hospitals,Jaipur,Rajasthan,Education
38,Horizon Mills,Ludhiana,Punjab,Agriculture
