order_id,order_date,customer_id,customer_name,customer_region,customer_city,supplier_id,supplier_name,supplier_region,product_id,product_name,product_category,product_subcategory,quantity,unit_price,discount_percent,revenue,cost,profit,order_status,payment_method,sales_channel,delivery_days,rating
ORD-00001,2025-07-20,CUST-0017,Beta Group 17,East,Kolkata,SUP-014,Zenith Solutions 14,Central,PROD-0057,Labels Model 1,Packaging,Labels,73,739.03,6.94,50205.12,47349.3,2855.82,completed,Credit Card,Online,8,4.4
ORD-00002,2024-07-21,CUST-0171,Gamma Enterprises 171,South,Hyderabad,SUP-011,Apex Solutions 11,South,PROD-0073,Last Mile Model 1,Logistics Services,Last Mile,1,2780.7,1.58,2736.76,1625.92,1110.84,completed,Net-30,Direct Sales,8,3.8
ORD-00003,2025-12-13,CUST-0057,Alpha Group 57,East,Bhubaneswar,SUP-002,Apex Trading 2,East,PROD-0017,Sensors Model 1,Electronics,Sensors,1,1995.42,5.1,1893.65,1213.26,680.39,completed,Net-30,Online,7,4.3
ORD-00004,2025-06-27,CUST-0232,Beta Ltd 232,East,Kolkata,SUP-047,Apex Trading 47,East,PROD-0006,Conveyors Model 2,Industrial Equipment,Conveyors,3,4910.6,16.69,0.0,9709.84,-1941.97,cancelled,Credit Card,Online,,
ORD-00005,2025-05-31,CUST-0165,Beta Group 165,North,Lucknow,SUP-005,Summit Solutions 5,North,PROD-0017,Sensors Model 1,Electronics,Sensors,5,2054.16,20.59,8156.04,6100.86,2055.18,completed,Letter of Credit,Direct Sales,10,4.7
ORD-00006,2023-11-09,CUST-0221,Beta Pvt Ltd 221,South,Hyderabad,SUP-016,Nova Manufacturing 16,South,PROD-0053,Films Model 1,Packaging,Films,7,1430.94,11.33,8881.7,7886.89,994.81,completed,Credit Card,Online,5,3.4
ORD-00007,2024-08-12,CUST-0222,Gamma Corp 222,East,Bhubaneswar,SUP-057,Summit Solutions 57,East,PROD-0048,Alloys Model 4,Raw Materials,Alloys,16,529.65,13.74,7310.02,5530.81,1779.21,completed,Wire Transfer,Direct Sales,4,3.7
ORD-00008,2023-02-23,CUST-0247,Foxtrot Group 247,East,Patna,SUP-007,Zenith Industries 7,East,PROD-0045,Alloys Model 1,Raw Materials,Alloys,3,4384.58,13.69,11352.99,10249.44,1103.55,completed,Credit Card,Direct Sales,3,3.5
ORD-00009,2025-12-22,CUST-0140,Alpha Group 140,North,Lucknow,SUP-020,Apex Manufacturing 20,North,PROD-0044,Chemicals Model 4,Raw Materials,Chemicals,3,3928.75,0.0,11786.25,8295.34,3490.91,completed,Net-30,Partner,7,4.8
ORD-00010,2025-09-21,CUST-0167,Alpha Enterprises 167,East,Kolkata,SUP-037,Prime Supplies 37,East,PROD-0077,Cold Chain Model 1,Logistics Services,Cold Chain,6,2312.95,0.54,13802.76,10896.68,2906.08,completed,Letter of Credit,Online,4,3.6
ORD-00011,2024-02-23,CUST-0177,Echo Ltd 177,East,Kolkata,SUP-022,Prime Solutions 22,East,PROD-0076,Last Mile Model 4,Logistics Services,Last Mile,3,3561.24,0.0,10683.72,8511.4,2172.32,completed,Net-30,Partner,6,4.6
ORD-00012,2024-12-26,CUST-0168,Delta Ltd 168,West,Pune,SUP-038,Summit Trading 38,West,PROD-0056,Films Model 4,Packaging,Films,1,593.75,0.0,593.75,506.45,87.3,completed,Credit Card,Marketplace,12,
ORD-00013,2025-07-31,CUST-0040,Alpha Ltd 40,North,Jaipur,SUP-037,Prime Supplies 37,East,PROD-0055,Films Model 3,Packaging,Films,2,3642.02,10.34,6530.87,4958.84,1572.03,pending,Net-30,Online,,
ORD-00014,2023-12-11,CUST-0224,Echo Pvt Ltd 224,Central,Indore,SUP-016,Nova Manufacturing 16,South,PROD-0056,Films Model 4,Packaging,Films,2,693.03,0.0,1386.06,1130.35,255.71,pending,Credit Card,Online,,
ORD-00015,2025-10-08,CUST-0272,Delta Corp 272,East,Guwahati,SUP-027,Orbit Trading 27,East,PROD-0045,Alloys Model 1,Raw Materials,Alloys,2,4242.48,0.0,848.5,6043.94,-360.29,cancelled,UPI,Marketplace,,
ORD-00016,2024-07-16,CUST-0290,Beta Enterprises 290,North,Lucknow,SUP-040,Orbit Supplies 40,North,PROD-0042,Chemicals Model 2,Raw Materials,Chemicals,9,3154.46,0.0,28390.14,21668.12,6722.02,completed,UPI,Marketplace,4,
ORD-00017,2025-07-10,CUST-0020,Foxtrot Enterprises 20,North,Chandigarh,SUP-025,Orbit Industries 25,North,PROD-0010,Compressors Model 2,Industrial Equipment,Compressors,4,3224.02,0.0,1289.61,10966.71,-903.73,cancelled,Letter of Credit,Direct Sales,,
ORD-00018,2023-12-20,CUST-0165,Beta Group 165,North,Lucknow,SUP-033,Nova Industries 33,West,PROD-0020,Sensors Model 4,Electronics,Sensors,2,489.1,0.0,978.2,760.58,217.62,completed,Letter of Credit,Direct Sales,11,4.4
ORD-00019,2024-11-06,CUST-0187,Foxtrot Pvt Ltd 187,East,Kolkata,SUP-022,Prime Solutions 22,East,PROD-0050,Corrugated Model 2,Packaging,Corrugated,12,642.99,0.0,7715.88,5401.52,2314.36,completed,Letter of Credit,Direct Sales,10,4.7
ORD-00020,2024-11-03,CUST-0171,Gamma Enterprises 171,South,Hyderabad,SUP-051,Nova Manufacturing 51,South,PROD-0019,Sensors Model 3,Electronics,Sensors,1,4233.33,0.62,4207.08,2512.84,1694.24,completed,Letter of Credit,Online,8,3.1
ORD-00021,2023-10-09,CUST-0217,Alpha Group 217,East,Patna,SUP-002,Apex Trading 2,East,PROD-0047,Alloys Model 3,Raw Materials,Alloys,1,3318.54,0.0,3318.54,2484.46,834.08,completed,Letter of Credit,Online,8,4.6
ORD-00022,2023-12-06,CUST-0173,Delta Corp 173,West,Mumbai,SUP-040,Orbit Supplies 40,North,PROD-0017,Sensors Model 1,Electronics,Sensors,2,2110.94,0.0,4221.88,2583.87,1638.01,pending,UPI,Online,,
ORD-00023,2025-08-18,CUST-0211,Foxtrot Group 211,South,Hyderabad,SUP-056,Orbit Trading 56,South,PROD-0031,Power Supplies Model 3,Electronics,Power Supplies,6,2141.74,5.62,12128.25,9206.19,2922.06,completed,Letter of Credit,Marketplace,8,3.8
ORD-00024,2024-05-27,CUST-0237,Gamma Group 237,East,Guwahati,SUP-050,Orbit Trading 50,North,PROD-0049,Corrugated Model 1,Packaging,Corrugated,11,4140.87,0.0,45549.57,26459.68,19089.89,pending,Credit Card,Marketplace,,
ORD-00025,2024-03-30,CUST-0191,Alpha Enterprises 191,South,Hyderabad,SUP-006,Apex Solutions 6,South,PROD-0067,Freight Model 3,Logistics Services,Freight,1,4552.41,0.0,4552.41,3137.02,1415.39,completed,UPI,Online,9,2.8
ORD-00026,2023-10-27,CUST-0203,Gamma Pvt Ltd 203,West,Ahmedabad,SUP-018,Nova Supplies 18,West,PROD-0050,Corrugated Model 2,Packaging,Corrugated,2,797.64,0.0,1595.28,1152.58,442.7,completed,Wire Transfer,Marketplace,8,4.5
ORD-00027,2023-08-16,CUST-0230,Alpha Enterprises 230,North,Delhi,SUP-058,Zenith Solutions 58,West,PROD-0011,Compressors Model 3,Industrial Equipment,Compressors,1,5172.79,0.0,5172.79,4015.01,1157.78,completed,Wire Transfer,Marketplace,7,3.6
ORD-00028,2025-05-03,CUST-0235,Echo Enterprises 235,North,Chandigarh,SUP-040,Orbit Supplies 40,North,PROD-0077,Cold Chain Model 1,Logistics Services,Cold Chain,2,2140.21,0.0,4280.42,3221.59,1058.83,pending,Wire Transfer,Online,,
ORD-00029,2025-02-03,CUST-0269,Gamma Pvt Ltd 269,Central,Nagpur,SUP-005,Summit Solutions 5,North,PROD-0068,Freight Model 4,Logistics Services,Freight,8,4757.04,15.09,32313.62,23192.95,9120.67,pending,Net-30,Online,,
ORD-00030,2024-11-24,CUST-0183,Echo Corp 183,West,Mumbai,SUP-023,Prime Industries 23,West,PROD-0031,Power Supplies Model 3,Electronics,Power Supplies,4,2043.1,0.0,0.0,5471.31,-1094.26,cancelled,Wire Transfer,Marketplace,,
ORD-00031,2023-03-16,CUST-0246,Alpha Ltd 246,South,Kochi,SUP-052,Zenith Manufacturing 52,East,PROD-0018,Sensors Model 2,Electronics,Sensors,2,2678.08,0.0,5356.16,3844.99,1511.17,completed,Credit Card,Partner,7,3.6
ORD-00032,2025-05-19,CUST-0140,Alpha Group 140,North,Lucknow,SUP-030,Nova Industries 30,North,PROD-0056,Films Model 4,Packaging,Films,3,701.37,0.0,2104.11,1818.23,285.88,completed,Letter of Credit,Partner,10,4.6
ORD-00033,2024-12-23,CUST-0165,Beta Group 165,North,Lucknow,SUP-030,Nova Industries 30,North,PROD-0038,Polymers Model 2,Raw Materials,Polymers,2,2873.68,15.08,4880.66,4166.17,714.49,completed,Credit Card,Online,4,3.6
ORD-00034,2025-01-11,CUST-0208,Delta Corp 208,West,Surat,SUP-058,Zenith Solutions 58,West,PROD-0021,Controllers Model 1,Electronics,Controllers,1,3414.76,0.47,3398.71,2155.68,1243.03,completed,UPI,Partner,4,4.7
ORD-00035,2025-11-26,CUST-0191,Alpha Enterprises 191,South,Hyderabad,SUP-006,Apex Solutions 6,South,PROD-0074,Last Mile Model 2,Logistics Services,Last Mile,3,4719.06,0.05,14150.1,8100.09,6050.01,completed,Net-30,Marketplace,4,4.7
ORD-00036,2024-08-17,CUST-0110,Gamma Pvt Ltd 110,North,Lucknow,SUP-019,Prime Industries 19,Central,PROD-0063,Pallets Model 3,Packaging,Pallets,1,3418.62,11.34,3030.95,2623.63,407.32,completed,Wire Transfer,Partner,11,3.2
ORD-00037,2023-06-26,CUST-0261,Gamma Ltd 261,South,Kochi,SUP-016,Nova Manufacturing 16,South,PROD-0018,Sensors Model 2,Electronics,Sensors,3,2949.65,0.0,8848.95,6440.59,2408.36,completed,UPI,Marketplace,9,4.4
ORD-00038,2023-09-22,CUST-0210,Foxtrot Ltd 210,North,Lucknow,SUP-005,Summit Solutions 5,North,PROD-0017,Sensors Model 1,Electronics,Sensors,4,2038.89,21.28,6420.06,4687.73,1732.33,completed,Credit Card,Direct Sales,1,
ORD-00039,2023-09-14,CUST-0156,Delta Corp 156,South,Kochi,SUP-026,Zenith Industries 26,South,PROD-0029,Power Supplies Model 1,Electronics,Power Supplies,13,2088.0,6.27,25442.07,17052.06,8390.01,completed,Wire Transfer,Direct Sales,4,3.4
ORD-00040,2024-06-26,CUST-0088,Alpha Ltd 88,West,Mumbai,SUP-047,Apex Trading 47,East,PROD-0078,Cold Chain Model 2,Logistics Services,Cold Chain,11,901.52,1.9,9728.3,6869.76,2858.54,completed,Credit Card,Marketplace,4,3.1
ORD-00041,2025-08-09,CUST-0280,Alpha Ltd 280,North,Lucknow,SUP-025,Orbit Industries 25,North,PROD-0062,Pallets Model 2,Packaging,Pallets,14,2636.64,0.32,36794.84,25124.58,11670.26,completed,Net-30,Partner,8,5.0
ORD-00042,2025-02-25,CUST-0205,Alpha Ltd 205,North,Chandigarh,SUP-030,Nova Industries 30,North,PROD-0066,Freight Model 2,Logistics Services,Freight,1,1123.66,0.19,1121.53,613.31,508.22,pending,Letter of Credit,Marketplace,,
ORD-00043,2025-11-20,CUST-0128,Foxtrot Ltd 128,West,Surat,SUP-058,Zenith Solutions 58,West,PROD-0021,Controllers Model 1,Electronics,Controllers,1,3049.54,0.0,3049.54,1897.24,1152.3,completed,Credit Card,Marketplace,1,4.4
ORD-00044,2025-08-21,CUST-0259,Foxtrot Pvt Ltd 259,Central,Indore,SUP-019,Prime Industries 19,Central,PROD-0028,Cables Model 4,Electronics,Cables,2,3028.67,0.0,6057.34,4561.92,1495.42,pending,Net-30,Online,,
ORD-00045,2024-08-14,CUST-0056,Echo Group 56,South,Kochi,SUP-021,Apex Trading 21,South,PROD-0047,Alloys Model 3,Raw Materials,Alloys,2,2664.33,0.0,5328.66,4045.13,1283.53,completed,Net-30,Online,10,4.5
ORD-00046,2024-11-13,CUST-0066,Beta Pvt Ltd 66,South,Kochi,SUP-026,Zenith Industries 26,South,PROD-0048,Alloys Model 4,Raw Materials,Alloys,2,521.27,0.09,1041.6,641.53,400.07,completed,Letter of Credit,Direct Sales,8,3.3
ORD-00047,2024-09-05,CUST-0168,Delta Ltd 168,West,Pune,SUP-021,Apex Trading 21,South,PROD-0021,Controllers Model 1,Electronics,Controllers,2,3451.38,0.0,6902.76,4384.89,2517.87,completed,Credit Card,Marketplace,6,4.1
ORD-00048,2023-04-16,CUST-0299,Echo Enterprises 299,Central,Indore,SUP-059,Zenith Trading 59,Central,PROD-0004,Pump Systems Model 4,Industrial Equipment,Pump Systems,1,3811.91,0.0,3811.91,2861.73,950.18,pending,Letter of Credit,Marketplace,,
ORD-00049,2025-05-07,CUST-0088,Alpha Ltd 88,West,Mumbai,SUP-058,Zenith Solutions 58,West,PROD-0080,Cold Chain Model 4,Logistics Services,Cold Chain,6,2215.46,0.38,13242.25,11040.04,2202.21,completed,Letter of Credit,Marketplace,9,5.0
ORD-00050,2024-12-26,CUST-0032,Gamma Enterprises 32,East,Bhubaneswar,SUP-034,Zenith Trading 34,Central,PROD-0027,Cables Model 3,Electronics,Cables,1,2306.72,0.92,2285.5,1512.83,772.67,pending,Net-30,Marketplace,,
ORD-00051,2024-12-15,CUST-0099,Beta Corp 99,Central,Nagpur,SUP-018,Nova Supplies 18,West,PROD-0072,Warehousing Model 4,Logistics Services,Warehousing,2,4505.9,0.0,9011.8,5673.61,3338.19,completed,Net-30,Online,1,3.5
ORD-00052,2024-06-09,CUST-0294,Beta Enterprises 294,Central,Raipur,SUP-025,Orbit Industries 25,North,PROD-0051,Corrugated Model 3,Packaging,Corrugated,1,4550.91,0.69,4519.51,3209.16,1310.35,completed,Net-30,Partner,6,3.6
ORD-00053,2025-04-26,CUST-0071,Gamma Corp 71,South,Chennai,SUP-056,Orbit Trading 56,South,PROD-0076,Last Mile Model 4,Logistics Services,Last Mile,1,3850.69,0.0,3850.69,3066.99,783.7,completed,Wire Transfer,Online,5,4.8
ORD-00054,2025-12-31,CUST-0282,Delta Pvt Ltd 282,East,Bhubaneswar,SUP-011,Apex Solutions 11,South,PROD-0053,Films Model 1,Packaging,Films,3,1508.37,1.82,0.0,3460.22,-692.04,cancelled,Credit Card,Direct Sales,,
ORD-00055,2023-03-18,CUST-0214,Gamma Enterprises 214,Central,Nagpur,SUP-012,Nova Solutions 12,East,PROD-0005,Conveyors Model 1,Industrial Equipment,Conveyors,2,4838.57,0.0,9677.14,8129.07,1548.07,completed,Net-30,Partner,10,4.2
ORD-00056,2023-01-29,CUST-0233,Alpha Ltd 233,West,Ahmedabad,SUP-035,Zenith Trading 35,North,PROD-0068,Freight Model 4,Logistics Services,Freight,3,5048.67,16.3,12677.21,9540.24,3136.97,completed,Wire Transfer,Direct Sales,6,2.9
ORD-00057,2023-01-14,CUST-0208,Delta Corp 208,West,Surat,SUP-033,Nova Industries 33,West,PROD-0042,Chemicals Model 2,Raw Materials,Chemicals,2,3577.62,0.0,7155.24,5625.17,1530.07,completed,Net-30,Partner,6,4.6
ORD-00058,2024-09-28,CUST-0299,Echo Enterprises 299,Central,Indore,SUP-001,Summit Industries 1,South,PROD-0034,Steel Model 2,Raw Materials,Steel,2,1612.57,0.0,0.0,2627.47,-525.49,cancelled,Credit Card,Partner,,
ORD-00059,2024-03-23,CUST-0189,Echo Enterprises 189,Central,Nagpur,SUP-015,Prime Industries 15,North,PROD-0018,Sensors Model 2,Electronics,Sensors,4,2779.23,0.0,11116.92,8031.74,3085.18,completed,Credit Card,Marketplace,7,3.0
ORD-00060,2024-11-02,CUST-0271,Foxtrot Group 271,South,Bengaluru,SUP-005,Summit Solutions 5,North,PROD-0073,Last Mile Model 1,Logistics Services,Last Mile,1,2554.12,0.0,2554.12,1427.44,1126.68,completed,Letter of Credit,Marketplace,8,3.5
ORD-00061,2024-09-23,CUST-0047,Delta Enterprises 47,East,Bhubaneswar,SUP-029,Prime Solutions 29,Central,PROD-0008,Conveyors Model 4,Industrial Equipment,Conveyors,1,3965.13,0.0,3965.13,3274.16,690.97,completed,Wire Transfer,Online,6,3.4
ORD-00062,2025-05-10,CUST-0024,Foxtrot Pvt Ltd 24,Central,Raipur,SUP-059,Zenith Trading 59,Central,PROD-0009,Compressors Model 1,Industrial Equipment,Compressors,1,248.7,0.0,248.7,148.68,100.02,pending,Net-30,Marketplace,,
ORD-00063,2024-04-01,CUST-0230,Alpha Enterprises 230,North,Delhi,SUP-059,Zenith Trading 59,Central,PROD-0049,Corrugated Model 1,Packaging,Corrugated,6,4181.55,20.79,19873.23,14557.63,5315.6,completed,UPI,Marketplace,9,3.1
ORD-00064,2025-05-08,CUST-0273,Echo Pvt Ltd 273,West,Pune,SUP-018,Nova Supplies 18,West,PROD-0032,Power Supplies Model 4,Electronics,Power Supplies,2,1388.64,0.0,2777.28,1926.43,850.85,completed,Wire Transfer,Direct Sales,1,3.0
ORD-00065,2023-04-26,CUST-0035,Beta Corp 35,North,Lucknow,SUP-005,Summit Solutions 5,North,PROD-0058,Labels Model 2,Packaging,Labels,26,4140.49,15.47,90998.86,80262.88,10735.98,pending,Wire Transfer,Partner,,
ORD-00066,2025-04-26,CUST-0120,Echo Ltd 120,North,Jaipur,SUP-047,Apex Trading 47,East,PROD-0074,Last Mile Model 2,Logistics Services,Last Mile,5,4906.54,1.97,24049.41,14522.24,9527.17,completed,Wire Transfer,Marketplace,6,4.3
ORD-00067,2024-04-06,CUST-0285,Delta Ltd 285,North,Chandigarh,SUP-030,Nova Industries 30,North,PROD-0049,Corrugated Model 1,Packaging,Corrugated,3,3757.77,1.51,11103.08,6776.34,4326.74,completed,Credit Card,Marketplace,5,5.0
ORD-00068,2024-01-26,CUST-0214,Gamma Enterprises 214,Central,Nagpur,SUP-014,Zenith Solutions 14,Central,PROD-0050,Corrugated Model 2,Packaging,Corrugated,1,647.69,10.18,581.76,471.39,110.37,completed,Credit Card,Online,9,4.3
ORD-00069,2024-01-25,CUST-0097,Foxtrot Pvt Ltd 97,East,Bhubaneswar,SUP-038,Summit Trading 38,West,PROD-0072,Warehousing Model 4,Logistics Services,Warehousing,2,4654.65,0.0,9309.3,5680.79,3628.51,completed,UPI,Direct Sales,8,4.0
ORD-00070,2025-08-12,CUST-0105,Gamma Pvt Ltd 105,North,Delhi,SUP-020,Apex Manufacturing 20,North,PROD-0071,Warehousing Model 3,Logistics Services,Warehousing,6,2140.26,5.72,12107.02,7892.33,4214.69,completed,Net-30,Direct Sales,13,5.0
ORD-00071,2025-05-05,CUST-0190,Alpha Group 190,North,Jaipur,SUP-005,Summit Solutions 5,North,PROD-0073,Last Mile Model 1,Logistics Services,Last Mile,2,2401.87,0.0,4803.74,2804.14,1999.6,completed,Letter of Credit,Direct Sales,6,4.5
ORD-00072,2024-12-22,CUST-0256,Delta Pvt Ltd 256,South,Bengaluru,SUP-051,Nova Manufacturing 51,South,PROD-0044,Chemicals Model 4,Raw Materials,Chemicals,7,4539.49,0.0,31776.43,23374.16,8402.27,completed,Letter of Credit,Online,9,5.0
ORD-00073,2025-09-16,CUST-0269,Gamma Pvt Ltd 269,Central,Nagpur,SUP-009,Nova Supplies 9,Central,PROD-0007,Conveyors Model 3,Industrial Equipment,Conveyors,4,1516.79,15.75,5111.58,4699.85,411.73,completed,UPI,Online,6,4.0
ORD-00074,2025-12-14,CUST-0009,Delta Corp 9,Central,Bhopal,SUP-024,Summit Manufacturing 24,Central,PROD-0069,Warehousing Model 1,Logistics Services,Warehousing,13,409.17,1.05,5263.36,4130.41,1132.95,completed,Credit Card,Partner,6,4.8
ORD-00075,2023-07-11,CUST-0208,Delta Corp 208,West,Surat,SUP-018,Nova Supplies 18,West,PROD-0029,Power Supplies Model 1,Electronics,Power Supplies,21,2286.73,0.0,48021.33,30793.89,17227.44,completed,Credit Card,Direct Sales,4,4.5
ORD-00076,2024-07-28,CUST-0043,Gamma Enterprises 43,West,Pune,SUP-033,Nova Industries 33,West,PROD-0043,Chemicals Model 3,Raw Materials,Chemicals,6,3501.99,0.0,21011.94,16001.54,5010.4,pending,Letter of Credit,Online,,
ORD-00077,2025-03-07,CUST-0092,Gamma Ltd 92,East,Kolkata,SUP-021,Apex Trading 21,South,PROD-0003,Pump Systems Model 3,Industrial Equipment,Pump Systems,5,5226.53,0.6,25975.85,17136.11,8839.74,completed,Wire Transfer,Online,5,3.3
ORD-00078,2025-03-23,CUST-0257,Alpha Corp 257,East,Patna,SUP-023,Prime Industries 23,West,PROD-0007,Conveyors Model 3,Industrial Equipment,Conveyors,1,1593.45,0.0,1593.45,1275.46,317.99,completed,UPI,Marketplace,9,4.0
ORD-00079,2023-05-31,CUST-0117,Foxtrot Corp 117,East,Patna,SUP-032,Prime Industries 32,East,PROD-0056,Films Model 4,Packaging,Films,7,571.37,0.0,3999.59,3455.13,544.46,completed,Wire Transfer,Marketplace,8,4.3
ORD-00080,2025-04-15,CUST-0163,Delta Pvt Ltd 163,West,Mumbai,SUP-008,Apex Industries 8,West,PROD-0001,Pump Systems Model 1,Industrial Equipment,Pump Systems,2,1924.6,12.9,3352.65,2888.9,463.75,completed,Letter of Credit,Partner,8,4.3
ORD-00081,2023-12-09,CUST-0198,Gamma Enterprises 198,West,Mumbai,SUP-033,Nova Industries 33,West,PROD-0050,Corrugated Model 2,Packaging,Corrugated,3,700.8,5.54,1985.93,1443.55,542.38,completed,Credit Card,Partner,4,4.4
ORD-00082,2024-11-05,CUST-0129,Gamma Group 129,Central,Indore,SUP-047,Apex Trading 47,East,PROD-0064,Pallets Model 4,Packaging,Pallets,4,2748.92,12.66,9603.63,8865.83,737.8,pending,UPI,Partner,,
ORD-00083,2025-03-26,CUST-0221,Beta Pvt Ltd 221,South,Hyderabad,SUP-056,Orbit Trading 56,South,PROD-0077,Cold Chain Model 1,Logistics Services,Cold Chain,1,2281.53,0.0,2281.53,1706.07,575.46,completed,UPI,Direct Sales,9,4.0
ORD-00084,2024-03-05,CUST-0167,Alpha Enterprises 167,East,Kolkata,SUP-032,Prime Industries 32,East,PROD-0047,Alloys Model 3,Raw Materials,Alloys,7,3354.73,20.05,18774.75,18485.83,288.92,completed,UPI,Marketplace,4,4.3
ORD-00085,2025-05-06,CUST-0072,Gamma Pvt Ltd 72,East,Bhubaneswar,SUP-016,Nova Manufacturing 16,South,PROD-0033,Steel Model 1,Raw Materials,Steel,1,2878.67,16.16,241.35,2448.95,-248.44,cancelled,Letter of Credit,Online,,
ORD-00086,2023-04-01,CUST-0185,Foxtrot Ltd 185,North,Lucknow,SUP-052,Zenith Manufacturing 52,East,PROD-0069,Warehousing Model 1,Logistics Services,Warehousing,4,396.4,0.0,1585.6,1245.65,339.95,pending,Letter of Credit,Marketplace,,
ORD-00087,2024-03-28,CUST-0170,Beta Enterprises 170,North,Jaipur,SUP-028,Summit Solutions 28,West,PROD-0014,CNC Parts Model 2,Industrial Equipment,CNC Parts,1,2440.99,0.0,2440.99,1885.49,555.5,completed,Letter of Credit,Direct Sales,4,4.3
ORD-00088,2025-07-15,CUST-0177,Echo Ltd 177,East,Kolkata,SUP-031,Apex Supplies 31,South,PROD-0014,CNC Parts Model 2,Industrial Equipment,CNC Parts,1,2277.28,15.7,1919.75,1657.16,262.59,completed,Credit Card,Online,5,4.6
ORD-00089,2025-04-09,CUST-0176,Beta Ltd 176,South,Bengaluru,SUP-044,Summit Solutions 44,Central,PROD-0022,Controllers Model 2,Electronics,Controllers,2,4294.54,0.0,0.0,5326.25,-1065.25,cancelled,Wire Transfer,Direct Sales,,
ORD-00090,2023-05-09,CUST-0222,Gamma Corp 222,East,Bhubaneswar,SUP-057,Summit Solutions 57,East,PROD-0079,Cold Chain Model 3,Logistics Services,Cold Chain,2,486.74,6.5,910.2,699.27,210.93,completed,Net-30,Partner,2,3.5
ORD-00091,2023-12-20,CUST-0101,Beta Enterprises 101,South,Chennai,SUP-021,Apex Trading 21,South,PROD-0063,Pallets Model 3,Packaging,Pallets,9,3370.9,0.7,30125.73,23593.18,6532.55,pending,Net-30,Online,,
ORD-00092,2025-09-23,CUST-0069,Alpha Group 69,Central,Indore,SUP-019,Prime Industries 19,Central,PROD-0040,Polymers Model 4,Raw Materials,Polymers,1,4115.31,1.15,4067.98,2989.71,1078.27,completed,Wire Transfer,Direct Sales,3,3.3
ORD-00093,2025-11-01,CUST-0251,Beta Pvt Ltd 251,South,Bengaluru,SUP-011,Apex Solutions 11,South,PROD-0041,Chemicals Model 1,Raw Materials,Chemicals,3,1775.62,0.39,5306.09,3901.32,1404.77,completed,UPI,Marketplace,5,3.5
ORD-00094,2025-11-12,CUST-0086,Foxtrot Enterprises 86,South,Chennai,SUP-001,Summit Industries 1,South,PROD-0029,Power Supplies Model 1,Electronics,Power Supplies,1,2239.38,0.0,2239.38,1399.02,840.36,completed,Net-30,Online,8,4.3
ORD-00095,2023-06-28,CUST-0226,Alpha Group 226,South,Bengaluru,SUP-031,Apex Supplies 31,South,PROD-0014,CNC Parts Model 2,Industrial Equipment,CNC Parts,25,2188.77,0.0,0.0,41279.6,-8255.92,cancelled,UPI,Online,,
ORD-00096,2024-12-19,CUST-0122,Echo Group 122,East,Bhubaneswar,SUP-057,Summit Solutions 57,East,PROD-0076,Last Mile Model 4,Logistics Services,Last Mile,1,3945.51,1.57,388.36,3392.88,-290.22,cancelled,Letter of Credit,Partner,,
ORD-00097,2023-10-05,CUST-0276,Gamma Enterprises 276,South,Chennai,SUP-056,Orbit Trading 56,South,PROD-0038,Polymers Model 2,Raw Materials,Polymers,35,3139.0,0.0,109865.0,79218.15,30646.85,completed,Net-30,Direct Sales,12,3.8
ORD-00098,2023-06-04,CUST-0068,Delta Group 68,West,Mumbai,SUP-058,Zenith Solutions 58,West,PROD-0042,Chemicals Model 2,Raw Materials,Chemicals,2,3304.88,0.0,6609.76,4917.17,1692.59,completed,Letter of Credit,Partner,2,3.0
ORD-00099,2023-05-10,CUST-0189,Echo Enterprises 189,Central,Nagpur,SUP-039,Summit Industries 39,Central,PROD-0042,Chemicals Model 2,Raw Materials,Chemicals,12,3169.05,0.0,38028.6,28241.9,9786.7,pending,Letter of Credit,Marketplace,,
ORD-00100,2025-09-20,CUST-0112,Delta Group 112,East,Kolkata,SUP-053,Nova Trading 53,West,PROD-0028,Cables Model 4,Electronics,Cables,1,2912.44,0.0,2912.44,2174.39,738.05,completed,Credit Card,Online,8,2.7
ORD-00101,2024-07-15,CUST-0236,Delta Pvt Ltd 236,South,Kochi,SUP-011,Apex Solutions 11,South,PROD-0057,Labels Model 1,Packaging,Labels,1,696.7,0.0,696.7,565.24,131.46,completed,Wire Transfer,Online,9,4.5
